"Forename","Sex","Common5"
"Abby","f",2
"Abigail","f",3
"Ada","f",2
"Adah","f",1
"Addelaide","f",1
"Addie","f",1
"Adela","f",2
"Adelaide","f",2
"Adelia","f",1
"Adelina","f",1
"Adeline","f",1
"Adina","f",1
"Agnes","f",1
"Aileen","f",3
"Alberta","f",1
"Albina","f",1
"Alessandra","f",1
"Alexandra","f",4
"Alexi","f",1
"Alice","f",4
"Alicea","f",2
"Alicia","f",1
"Aline","f",1
"Alison","f",5
"Allis","f",1
"Alma","f",2
"Alse","f",1
"Alyson","f",1
"Amanda","f",4
"Amber","f",2
"Amelia","f",2
"Ames","f",1
"Amy","f",4
"Amye","f",1
"Andi","f",1
"Andrea","f",3
"Angela","f",4
"Angelina","f",2
"Anita","f",3
"Ann","f",5
"Anna","f",5
"Annabel","f",5
"Annabella","f",3
"Anne","f",5
"Anne-Marie","f",3
"Annelia","f",1
"Anneliese","f",1
"Anness","f",1
"Annette","f",4
"Annia","f",1
"Annie","f",3
"Annina","f",1
"Annis","f",1
"Annithe","f",1
"Antoinette","f",1
"Antonia","f",2
"Arabella","f",2
"Arlean","f",1
"Arlene","f",4
"Ashley","f",3
"Audrey","f",2
"Augusta","f",1
"Avis","f",1
"Avril","f",2
"Barbara","f",5
"Beatrice","f",4
"Belinda","f",4
"Belle","f",3
"Berenice","f",1
"Bernice","f",2
"Bertha","f",1
"Beryl","f",1
"Bessey","f",1
"Bessie","f",1
"Beth","f",3
"Betsey","f",3
"Betsy","f",1
"Bettiena","f",1
"Bettina","f",2
"Betty","f",3
"Beverley","f",3
"Beverly","f",3
"Blanch","f",1
"Blanche","f",3
"Brenda","f",2
"Bridget","f",3
"Bridgett","f",3
"Britta","f",1
"Bronia","f",1
"Callie","f",1
"Camellia","f",1
"Camilla","f",3
"Cara","f",2
"Carlie","f",2
"Carmelia","f",1
"Carol","f",4
"Carole","f",4
"Caroline","f",5
"Carolyn","f",5
"Caron","f",1
"Carrie","f",4
"Carrieanne","f",1
"Casey","f",3
"Cassandra","f",2
"Cassi","f",2
"Cassie","f",3
"Cath","f",3
"Catharine","f",5
"Catherine","f",5
"Cathi","f",2
"Cathleen","f",3
"Cathryn","f",4
"Cecelia","f",2
"Cecile","f",1
"Cecilia","f",1
"Celia","f",2
"Ceri","f",2
"Charity","f",1
"Charlene","f",2
"Charlotta","f",1
"Charlotte","f",3
"Cherril","f",1
"Cheryl","f",2
"Chloe","f",3
"Christabel","f",1
"Christiana","f",2
"Christie","f",3
"Christina","f",4
"Christine","f",5
"Christobel","f",1
"Cicely","f",1
"Cindy","f",2
"Clair","f",4
"Claire","f",5
"Clara","f",2
"Clare","f",5
"Clarice","f",1
"Claris","f",1
"Colette","f",2
"Colleen","f",3
"Connie","f",3
"Constance","f",2
"Cora","f",1
"Corinna","f",1
"Corinne","f",2
"Cynthia","f",2
"Daisy","f",2
"Danielle","f",3
"Daphne","f",2
"Darlene","f",2
"Davina","f",3
"Dawn","f",4
"Deanna","f",1
"Deanne","f",1
"Debbie","f",5
"Deborah","f",5
"Deborrah","f",2
"Debra","f",2
"Dee","f",3
"Deirdre","f",2
"Delia","f",3
"Denise","f",3
"Dessey","f",1
"Dessie","f",1
"Diana","f",3
"Diane","f",5
"Dianis","f",1
"Dianne","f",3
"Dilys","f",2
"Dinah","f",2
"Dizraph","f",1
"Dolly","f",2
"Donna","f",3
"Dora","f",1
"Dorcas","f",2
"Doreas","f",1
"Doreen","f",3
"Doris","f",3
"Dorothea","f",3
"Dorothy","f",2
"Dortha","f",1
"Drucilla","f",1
"Dulcie","f",1
"Easter","f",1
"Ebinesar","f",1
"Edina","f",1
"Edith","f",3
"Edna","f",3
"Edythe","f",1
"Eileen","f",3
"Eirene","f",1
"Elaine","f",4
"Eleanor","f",5
"Eleanora","f",2
"Elinor","f",3
"Elisa","f",2
"Eliza","f",3
"Elizabeth","f",5
"Elizabeth-Jane","f",2
"Ella","f",2
"Ellen","f",4
"Ellena","f",1
"Ellenor","f",1
"Ellice","f",1
"Ellinor","f",2
"Ellisa","f",1
"Elsa","f",3
"Elsie","f",2
"Elspeth","f",2
"Elvina","f",1
"Emelia","f",1
"Emilia","f",1
"Emilie","f",2
"Emily","f",4
"Emina","f",1
"Emma","f",5
"Emmeline","f",2
"Emmie","f",1
"Ena","f",2
"Enid","f",1
"Ennice","f",1
"Ernestine","f",1
"Esme","f",2
"Estella","f",1
"Ester","f",2
"Esther","f",3
"Ethel","f",1
"Ettie","f",1
"Etty","f",1
"Eula","f",1
"Eunice","f",1
"Eva","f",3
"Evangeline","f",1
"Evarina","f",1
"Eve","f",4
"Eveline","f",1
"Evelyn","f",2
"Everina","f",1
"Evylene","f",1
"Faith","f",3
"Fannie","f",2
"Fanny","f",2
"Fay","f",2
"Faye","f",3
"Felicity","f",2
"Fiona","f",4
"Firzah","f",1
"Flora","f",1
"Florence","f",2
"Flori","f",1
"Floria","f",1
"Florit","f",1
"Florrie","f",1
"Flossie","f",1
"Frances","f",3
"Francesca","f",2
"Francisca","f",1
"Freda","f",1
"Frederica","f",1
"Frises","f",1
"Frisis","f",1
"Friswith","f",1
"Frysow","f",1
"Gail","f",1
"Gaynor","f",1
"Gemma","f",3
"Genesia","f",1
"Genevieve","f",2
"Georgiana","f",2
"Georgina","f",4
"Geraldine","f",3
"Gerda","f",1
"Gertrude","f",2
"Gi","f",1
"Gige","f",1
"Gigi","f",2
"Gillian","f",4
"Gina","f",3
"Ginnette","f",3
"Gladys","f",5
"Glenda","f",4
"Glenys","f",4
"Glinys","f",3
"Gloria","f",4
"Grace","f",4
"Gratian","f",1
"Greta","f",2
"Gwen","f",3
"Gwendoline","f",1
"Gwendolyn","f",1
"Gwynneth","f",2
"Haley","f",4
"Hanah","f",1
"Hannah","f",4
"Hariett","f",1
"Hariot","f",1
"Harriet","f",3
"Harriett","f",2
"Harriette","f",1
"Harriot","f",1
"Hattie","f",1
"Hayley","f",4
"Hazel","f",4
"Heather","f",5
"Heidi","f",2
"Helen","f",5
"Helena","f",4
"Helene","f",2
"Hellen","f",2
"Henrietta","f",2
"Hephzibah","f",1
"Hester","f",3
"Hettie","f",1
"Hetty","f",1
"Hilda","f",3
"Holly","f",3
"Honoria","f",1
"Hulda","f",1
"Ida","f",2
"Ila","f",1
"Ilene","f",2
"Inga","f",2
"Irene","f",4
"Iris","f",2
"Irma","f",1
"Isabel","f",4
"Isabell","f",1
"Isabella","f",3
"Isis","f",1
"Isobel","f",3
"Iva","f",1
"Ivy","f",2
"Jackie","f",4
"Jacqueline","f",3
"Jane","f",5
"Janet","f",5
"Janetta","f",1
"Janice","f",4
"Janine","f",4
"Janis","f",1
"Jaqueline","f",1
"Jayne","f",3
"Jean","f",4
"Jeanette","f",3
"Jeanne","f",4
"Jeannie","f",3
"Jemima","f",2
"Jenette","f",1
"Jenifer","f",1
"Jenna","f",1
"Jennie","f",4
"Jennifer","f",4
"Jenny","f",5
"Jessica","f",5
"Jessie","f",4
"Jill","f",5
"Jillian","f",5
"Joan","f",5
"Joane","f",1
"Joann","f",1
"Joanna","f",4
"Joanne","f",5
"Jocelin","f",1
"Jocelyn","f",1
"Jodi","f",3
"Johanna","f",1
"Joni","f",1
"Josephine","f",1
"Joy","f",4
"Joyce","f",3
"Juanita","f",2
"Judith","f",5
"Judy","f",5
"Julia","f",5
"Julie","f",5
"Julier","f",1
"Juliet","f",5
"Juliette","f",5
