"forename","sex","rn_expweight"
"Aaron","m",2
"Abbas","m",2
"Abel","m",1
"Abiah","m",1
"Abraham","m",1
"Adam","m",4
"Adrian","m",4
"Alan","m",5
"Albert","m",3
"Alec","m",4
"Alexander","m",5
"Alfred","m",2
"Algernon","m",1
"Alistair","m",3
"Allan","m",4
"Allen","m",3
"Alpheaus","m",1
"Alpheous","m",1
"Ambrose","m",1
"Amey","m",1
"Amos","m",1
"Andree","m",1
"Andrew","m",4
"Anthonie","m",1
"Anthony","m",4
"Antony","m",4
"Archelaus","m",1
"Archibald","m",1
"Archie","m",2
"Arnold","m",2
"Arthur","m",4
"Athelstan","m",1
"Athelston","m",1
"Attwood","m",1
"Aubrey","m",1
"August","m",1
"Augustus","m",1
"Austin","m",2
"Balthazar","m",1
"Balthezar","m",1
"Barnabas","m",2
"Barnard","m",1
"Barrie","m",2
"Barry","m",3
"Bartholomew","m",1
"Basham","m",1
"Basil","m",1
"Bates","m",1
"Bearl","m",1
"Ben","m",5
"Benjamin","m",5
"Bernard","m",2
"Bert","m",4
"Bertie","m",1
"Bertram","m",1
"Bill","m",5
"Binfield","m",1
"Bob","m",5
"Brad","m",4
"Bradley","m",3
"Brash","m",1
"Brendon","m",3
"Bret","m",1
"Brett","m",2
"Brian","m",4
"Bruce","m",5
"Bryan","m",2
"Caleb","m",1
"Calvert","m",1
"Calvin","m",2
"Campbell","m",1
"Carl","m",4
"Cecil","m",1
"Charles","m",5
"Charlie","m",5
"Chas","m",3
"Cheney","m",1
"Christian","m",3
"Christoph","m",2
"Christophe","m",2
"Christopher","m",5
"Clarence","m",1
"Clarke","m",2
"Claude","m",2
"Clay","m",3
"Clem","m",3
"Clemence","m",1
"Clement","m",3
"Clifford","m",3
"Clifton","m",1
"Clive","m",4
"Colin","m",5
"Collin","m",2
"Colston","m",1
"Conrad","m",4
"Cook","m",1
"Cornelius","m",1
"Craig","m",3
"Crispin","m",2
"Cuthbert","m",1
"Cyril","m",1
"Dacre","m",1
"Dale","m",4
"Damien","m",3
"Dan","m",5
"Daniel","m",4
"Danny","m",2
"Daren","m",1
