Surname,Common5
ABBETT,3
ABBEY,3
ABBOTT,3
ABDULLAH,1
ABERECROMBY,1
ABERG,1
ABREU,1
ADAM,3
ADAMS,5
AH SING,2
AITKEN,4
AKHURST,1
ALAVAKIS,1
ALBAN,1
ALCOCK,1
ALDERSON,1
ALDIS,1
ALEXANDER,4
ALFORD,1
ALLAN,4
ALLARD,1
ALLBEURY,1
ALLEGRETTA,1
ALLEN,1
ALLISS,1
ALTHAM,2
ANDERSON,1
ANDREW,3
ANDREWS,5
ANGOVE,1
ANNEAR,1
ANNING,1
ANSTEY,2
APPLEBY,3
APPLEFORD,3
APPLETON,3
ARCHER,1
ARMANASCO,1
ARMIT,1
ARMSTRONG,4
ARNOLD,4
ARTHUR,1
ARUNDEL,2
ASHMEAD,1
ASKEW,2
ASPHAR,1
ASTILL,1
ATCHLEY,1
ATKINS,4
ATKINSON,1
ATTWELL,2
ATWELL,3
AUBREY,1
AUSTEN,3
AUSTIN,4
AYLING,1
AYMER,1
B,1
BACHE,1
BACK,1
BACKCOLLER,1
BACON,3
BAGG,2
BAGSHAW,2
BAHLINGER,1
BAIL,2
BAILEY,4
BAIRD,4
BAKER,5
BALDWIN,3
BALL,1
BALLACHEY,2
BALLATON,2
BANDY,1
BANFIELD,1
BANKS,1
BANTING,1
BANWELL,1
BARCLAY,4
BARKER,4
BARLOW,3
BARNARD,3
BARNDON,1
BARNES,3
BARNETT,1
BARNSLEY,1
BARR,2
BARRASS,1
BARRETT,3
BARRINGTON,2
BARRON,1
BARRY,2
BARTHOLOMEW,3
BARTLETT,2
BARTLEY,1
BARTON,3
BASTOW,1
BATEMAN,3
BATES,4
BATHURST,3
BATT,2
BATTY,2
BAWDEN,1
BAXTER,3
BEACHAM,3
BEARD,2
BEARDMAN,2
BEATON,1
BEATTIE,4
BEBEE,1
BECHWITH,1
BECKETT,4
BECKWITH,2
BEECROFT,1
BEER,1
BEETSON,1
BELL,3
BENBOW,2
BENJAMIN,3
BENNETT,4
BENNETTS,2
